"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,83088235294118;3,61029411764706;1000;3000;53,7899101531312;1330,6080007491;53,7899101531312;7,78093039950954;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,58823529411765;3,55147058823529;1000;3000;53,0250644387939;1958,22654620572;53,0250644387939;14,2759788873676;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,95588235294118;3,58823529411765;1000;3000;53,4374772891115;1361,97605459766;53,4374772891115;16,9105940788328;1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,69852941176471;4,13970588235294;1000;3000;53,1525792379897;1821,23004360459;23,3440381788468;53,1525792379897;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,69852941176471;4,00735294117647;1000;3000;54,1873188781525;1324,49640937846;54,1873188781525;17,5742655821035;1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,88970588235294;3,74264705882353;1000;3000;52,5162271730969;1252,23411461034;52,5162271730969;11,5944917135409;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,89705882352941;3,69117647058824;1000;3000;54,1114204025949;1394,76383356852;54,1114204025949;20,079080526749;1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,77205882352941;3,63970588235294;1000;3000;52,7071962979512;1357,54218965309;52,7071962979512;18,022460669622;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,76470588235294;4,125;1000;3000;53,1507415953631;1767,61597074836;53,1507415953631;18,8909262296773;1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,13235294117647;3,66176470588235;1000;3000;54,7790854403709;1916,41605269003;21,8400275285139;54,7790854403709;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,41911764705882;3,55882352941176;1000;3000;53,5939819183608;1364,5717507709;53,5939819183608;15,1614554111152;1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,79411764705882;3,80882352941176;1000;3000;52,6588161212559;2739,02387955509;15,487887094487;52,6588161212559;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,01470588235294;4,16176470588235;1000;3000;52,7315325125923;1448,26519387151;11,3734677968336;52,7315325125923;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,58823529411765;3,50735294117647;1000;3000;53,0565361654853;1861,0496559566;53,0565361654853;22,2009619415861;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,66176470588235;3,80882352941176;1000;3000;54,8259908943717;1374,45815699784;54,8259908943717;16,9699495625436;1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,78676470588235;3,90441176470588;1000;3000;52,5345462213525;2246,21444670047;29,0322492275895;52,5345462213525;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,80882352941176;3,64705882352941;1000;3000;52,6293733232126;2062,67522018672;52,6293733232126;17,5431244410709;1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,63970588235294;3,86029411764706;1000;3000;54,3435265946037;1270,86738286783;54,3435265946037;11,9205155110744;1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,77941176470588;3,70588235294118;1000;3000;52,6828193283138;2359,02321510145;52,6828193283138;28,5795686552291;1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,625;3,5;1000;3000;52,9938918033408;1198,65204199239;17,6646306011136;52,9938918033408;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,95588235294118;4,08088235294118;1000;3000;53,6613642834381;2015,81691235443;27,5461669988316;53,6613642834381;-1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,65441176470588;3,96323529411765;1000;3000;53,0256933123204;2637,97114189361;53,0256933123204;35,4652364361623;1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,63970588235294;3,58823529411765;1000;3000;53,3760614037312;1748,41281429221;25,4827647992007;53,3760614037312;-1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,84558823529412;3,80882352941176;1000;3000;53,4464296400769;1849,5743837552;53,4464296400769;11,9171093116388;1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,88235294117647;4,10294117647059;1000;3000;53,4493322646623;1353,73420092106;10,1975699715474;53,4493322646623;-1
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,95588235294118;3,59558823529412;1000;3000;52,7490653093088;1578,80688553933;52,7490653093088;27,3635776292039;1
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,64705882352941;3,88970588235294;1000;3000;53,3387389762694;1888,90599890436;53,3387389762694;15,431333288732;1
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,49264705882353;3,63235294117647;1000;3000;54,1857026907349;1992,39774597919;10,0088240638937;54,1857026907349;-1
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,51470588235294;3,67647058823529;1000;3000;53,2942701899874;1426,97848811508;53,2942701899874;11,5704665544052;1
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,49264705882353;3,59558823529412;1000;3000;53,8097763489946;1499,79150229011;53,8097763489946;14,4613773937923;1
"31";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,91911764705882;3,61764705882353;1000;3000;52,9067718958817;1539,24778164222;52,9067718958817;20,7608851743333;1
"32";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,51470588235294;3,61029411764706;1000;3000;52,8141566226745;1422,27731295783;12,4898343364433;52,8141566226745;-1
"33";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,64705882352941;3,55147058823529;1000;3000;53,114910394782;1961,00776596861;53,114910394782;13,2787275986955;1
"34";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,60294117647059;3,63970588235294;1000;3000;53,5915582815417;1608,3346244703;53,5915582815417;18,6706074013113;1
"35";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,60294117647059;3,61764705882353;1000;3000;53,1174588030836;1560,08823645472;24,3021053347441;53,1174588030836;-1
"36";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,52941176470588;3,94117647058824;1000;3000;53,0247712797075;1906,16934191107;53,0247712797075;20,5257179147255;1
"37";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,59558823529412;3,55882352941176;1000;3000;52,7724910924001;2187,43623195103;52,7724910924001;19,2217682786888;1
"38";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,83088235294118;3,63970588235294;1000;3000;58,2434427810621;958,009620462025;1,06542883136089;58,2434427810621;-1
"39";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,70588235294118;3,41176470588235;1000;3000;53,7590354162312;1727,58113462772;22,6738788830363;53,7590354162312;-1
"40";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,50735294117647;3,82352941176471;1000;3000;0;0;0;0;0
"41";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,76470588235294;3,86029411764706;1000;3000;53,8131751668917;1562,15221109954;16,9411847747622;53,8131751668917;-1
"42";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,61029411764706;3,94117647058824;1000;3000;53,5550489535888;1333,94668541183;53,5550489535888;9,99694247133657;1
"43";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,66176470588235;3,875;1000;3000;53,4377915344591;1894,5564429934;53,4377915344591;20,5012910918365;1
"44";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,86029411764706;3,42647058823529;1000;3000;52,7221833152929;1349,34687288067;8,95932526926546;52,7221833152929;-1
"45";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,58088235294118;3,79411764705882;1000;3000;54,8137524719493;2176,03783342232;54,8137524719493;22,8390635299789;1
"46";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,78676470588235;3,84558823529412;1000;3000;0;0;0;0;0
"47";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,83088235294118;3,64705882352941;1000;3000;52,6278378935491;1526,55040162803;52,6278378935491;15,5806099026954;1
"48";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,66176470588235;3,91911764705882;1000;3000;53,5301990977291;2260,84625048887;8,57855754771299;53,5301990977291;-1
"49";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,72058823529412;3,55882352941176;1000;3000;52,7384477368499;1835,34056098022;21,7758751945703;52,7384477368499;-1
"50";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,08823529411765;3,77941176470588;1000;3000;52,5000000000002;1505,00622323139;52,5000000000002;12,2500000000001;1
"51";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,69852941176471;3,63235294117647;1000;3000;53,7921779715119;1683,07688561987;10,5541615007397;53,7921779715119;-1
"52";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,11764705882353;3,79411764705882;1000;3000;53,5906181871826;1643,56017432935;53,5906181871826;32,0151745014337;1
