"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"time_50";"poolA_50";"poolB_50";"dec_50"
"1";800;2;100;0,55;0,36;0,36;0,170498764817603;0,006;0,07;65000;50;50;30;8,247;6,753;4,10714285714286;3,30357142857143;1000;3500;51,3149460375576;1569,66883732274;51,3149460375576;21,9361601381926;1
"2";800;2;100;0,55;0,36;0,36;0,183850057329983;0,006;0,07;65000;50;50;30;8,247;6,753;3,96428571428571;3,29761904761905;1000;3500;50,0013839090281;1727,48663320224;50,0013839090281;19,8281349984077;1
"3";800;2;100;0,55;0,36;0,36;0,121629375428893;0,006;0,07;65000;50;50;30;8,247;6,753;4,00595238095238;3,3452380952381;1000;3500;50,8399696037539;1799,1607202659;19,3191884494265;50,8399696037539;-1
"4";800;2;100;0,55;0,36;0,36;0,123077231971547;0,006;0,07;65000;50;50;30;8,247;6,753;4,18452380952381;3,25;1000;3500;50,6292024676414;1336,71730221815;50,6292024676414;11,3657393294705;1
"5";800;2;100;0,55;0,36;0,36;0,197566972533241;0,006;0,07;65000;50;50;30;8,247;6,753;4,04166666666667;3,54166666666667;1000;3500;50,1874406049154;1320,17736370547;50,1874406049154;24,6456181541995;1
"6";800;2;100;0,55;0,36;0,36;0,146944536222145;0,006;0,07;65000;50;50;30;8,247;6,753;3,98809523809524;3,63690476190476;1000;3500;50,1195031220091;1448,47865948348;50,1195031220091;22,2753347208929;1
"7";800;2;100;0,55;0,36;0,36;0,138787994347513;0,006;0,07;65000;50;50;30;8,247;6,753;3,89285714285714;3,42261904761905;1000;3500;51,4927384560373;1632,3563302417;51,4927384560373;19,6883999978966;1
"8";800;2;100;0,55;0,36;0,36;0,180960294581018;0,006;0,07;65000;50;50;30;8,247;6,753;4,29166666666667;3,83928571428571;1000;3500;51,7562538736515;1612,99442871129;51,7562538736515;22,9085058129277;1
"9";800;2;100;0,55;0,36;0,36;0,137722184509039;0,006;0,07;65000;50;50;30;8,247;6,753;4,29761904761905;3,5297619047619;1000;3500;50,3841329368744;1267,15515739248;20,0054645484648;50,3841329368744;-1
"10";800;2;100;0,55;0,36;0,36;0,160244413372129;0,006;0,07;65000;50;50;30;8,247;6,753;4,23809523809524;3,32142857142857;1000;3500;50,3744846579594;1337,02543047431;12,0123771107442;50,3744846579594;-1
"11";800;2;100;0,55;0,36;0,36;0,163711848529056;0,006;0,07;65000;50;50;30;8,247;6,753;4,04761904761905;3,39880952380952;1000;3500;50,9258298747946;1683,45538296073;50,9258298747946;13,2029929305023;1
"12";800;2;100;0,55;0,36;0,36;0,176437194412574;0,006;0,07;65000;50;50;30;8,247;6,753;4,1547619047619;3,45833333333333;1000;3500;50,2713313846005;1463,82419551399;50,2713313846005;38,3019667692194;1
"13";800;2;100;0,55;0,36;0,36;0,133180525130592;0,006;0,07;65000;50;50;30;8,247;6,753;4,20833333333333;3,39880952380952;1000;3500;50,550427368616;2131,95624452255;15,0949192836839;50,550427368616;-1
