"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;4,05147058823529;4,07352941176471;1000;3000;53,1072144300665;1522,57959519548;16,5960045093958;53,1072144300665;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,63970588235294;3,80147058823529;1000;3000;52,5184242609028;2011,95304226968;52,5184242609028;13,6411491586761;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,85294117647059;3,60294117647059;1000;3000;52,7239770742185;1893,10454794736;52,7239770742185;6,3693395123217;1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,64705882352941;3,86764705882353;1000;3000;53,1913037653181;1595,32642310922;53,1913037653181;26,0808973300914;1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,77941176470588;3,77205882352941;1000;3000;52,5491486873395;1733,19682406332;52,5491486873395;28,9556533583299;1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,69117647058824;3,95588235294118;1000;3000;53,5671033700826;1585,59263804913;53,5671033700826;12,3873926543316;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,58088235294118;3,75;1000;3000;53,0486632380952;2329,0365252454;17,8015648449984;53,0486632380952;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,63235294117647;3,74264705882353;1000;3000;54,147782295011;1658,13126680038;54,147782295011;5,51824532942788;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,58823529411765;4,00735294117647;1000;3000;53,487564927758;2300,74247012338;19,9267398750471;53,487564927758;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,5;7,5;3,875;3,63235294117647;1000;3000;52,7823609083591;1955,07733324674;52,7823609083591;14,5845997246782;1
