"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_10";"time_10";"poolA_10";"poolB_10";"dec_10";"bound_15";"time_15";"poolA_15";"poolB_15";"dec_15";"bound_20";"time_20";"poolA_20";"poolB_20";"dec_20";"bound_25";"time_25";"poolA_25";"poolB_25";"dec_25";"bound_30";"time_30";"poolA_30";"poolB_30";"dec_30";"bound_35";"time_35";"poolA_35";"poolB_35";"dec_35";"bound_40";"time_40";"poolA_40";"poolB_40";"dec_40";"bound_45";"time_45";"poolA_45";"poolB_45";"dec_45";"bound_50";"time_50";"poolA_50";"poolB_50";"dec_50";"bound_55";"time_55";"poolA_55";"poolB_55";"dec_55";"bound_60";"time_60";"poolA_60";"poolB_60";"dec_60";"bound_65";"time_65";"poolA_65";"poolB_65";"dec_65"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,33928571428571;3,31547619047619;1000;3500;19,4169823279808;1030,04900833959;19,4169823279808;14,4804613971382;1;19,4169823279808;1030,04900833959;19,4169823279808;14,4804613971382;1;24,0075889769344;1039,50796039113;24,0075889769344;16,2304826886317;1;25,5371395703775;1057,56220824502;25,5371395703775;19,4226131943716;1;31,3912883812737;1146,38248595677;31,3912883812737;27,2517778255014;1;36,9742411559334;1175,17386400182;36,9742411559334;22,4609876180904;1;42,6701572902048;1232,40525080347;42,6701572902048;17,4094241744036;1;46,6516816790208;1261,09450312094;46,6516816790208;13,4771524850504;1;50,6978259481279;1319,18563822728;50,6978259481279;10,1395651896256;1;55,3805582728695;1454,1830164112;55,3805582728695;9,91380364143959;1;60,3828987080712;1561,26201910374;60,3828987080712;9,55209697076833;1;65,7168343384287;1702,98895447589;65,7168343384287;6,16095321922769;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,00595238095238;3,4702380952381;1000;3500;31,5523307481637;1030,00163101772;3,4672890932048;31,5523307481637;-1;31,5523307481637;1030,00163101772;3,4672890932048;31,5523307481637;-1;31,5523307481637;1030,00163101772;3,4672890932048;31,5523307481637;-1;31,5523307481637;1030,00163101772;3,4672890932048;31,5523307481637;-1;31,5523307481637;1030,00163101772;3,4672890932048;31,5523307481637;-1;36,575344972536;1059,72783146509;4,32254076948153;36,575344972536;-1;40,1098924884948;1079,28340546423;4,04469504085662;40,1098924884948;-1;45,9693802445769;1178,24692817171;20,0295156779942;45,9693802445769;-1;50,4449007004439;1294,11023264143;24,8672045706414;50,4449007004439;-1;55,2336866539878;2720,88277513315;55,2336866539878;7,11599644008432;1;61,0962903588282;2931,08595563285;61,0962903588282;7,98417430825596;1;65,1634405511218;3074,01148671094;65,1634405511218;4,48214141356922;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,25;3,19047619047619;1000;3500;17,9934977273539;1030,07361006157;17,9934977273539;10,1417896281449;1;17,9934977273539;1030,07361006157;17,9934977273539;10,1417896281449;1;21,0723085832206;1051,80413029724;21,0723085832206;12,5804827362511;1;25,436305393909;1109,11411547619;25,436305393909;19,5928298304434;1;30,031803204358;1158,82245708967;30,031803204358;24,0914465265729;1;35,2130675130532;1207,59845624547;35,2130675130532;22,2218387218297;1;41,2260695914455;1411,33682179134;41,2260695914455;22,4869470498794;1;45,1157152930638;1889,0973490965;45,1157152930638;13,4313961559503;1;50,1050677557738;2126,47164081764;50,1050677557738;16,7016892519246;1;56,1326407061323;2221,77835551061;56,1326407061323;5,54396451418591;1;60,53207021633;2289,22333140334;60,53207021633;7,18177104261543;1;0;0;0;0;0
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,08928571428571;3,53571428571429;1000;3500;15,2149377167573;1030,07192368465;10,9150640141955;15,2149377167573;-1;15,2149377167573;1030,07192368465;10,9150640141955;15,2149377167573;-1;23,570797642473;1069,2720282878;23,570797642473;18,2590685962819;1;25,7544346955583;1089,06696948368;25,7544346955583;20,5383466559516;1;30,1195816740806;1138,02995844664;27,0037628802102;30,1195816740806;-1;35,313632481251;1196,39922427916;24,6852576567968;35,313632481251;-1;40,6808736790627;1283,2495148923;26,0774831276043;40,6808736790627;-1;45,0625599767731;1370,44396905718;23,7171368298806;45,0625599767731;-1;50,1676807753026;1399,18655324301;20,0670723101211;50,1676807753026;-1;56,0754893484902;2623,22897405687;20,1871761654565;56,0754893484902;-1;60,178991066984;2700,02230691238;20,1717288492684;60,178991066984;-1;65,1304068328991;3369,15374192855;8,68405424438655;65,1304068328991;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;3,97619047619048;3,35714285714286;1000;3500;13,6635651808685;1030,06207657298;13,6635651808685;11,664019056839;1;17,8364928200804;1040,45941517199;17,8364928200804;12,221300635981;1;20,4061622239542;1109,91298587086;20,4061622239542;16,6650324828959;1;26,1478063171945;1198,00745818872;26,1478063171945;21,3936597140682;1;31,0741278310485;1315,97891999899;31,0741278310485;23,220227390234;1;36,0665155312907;1392,80274034122;19,0940376342128;36,0665155312907;-1;40,1123155502797;1422,36889602354;20,5617751980425;40,1123155502797;-1;46,787193880061;1575,84423706342;21,8843326213189;46,787193880061;-1;50,5791369112489;1605,65370896897;19,2999338213976;50,5791369112489;-1;55,4206009757586;1851,86844209502;13,7731671064015;55,4206009757586;-1;0;0;0;0;0;0;0;0;0;0
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,1547619047619;3,60119047619048;1000;3500;17,2218354003914;1030,07708152115;4,7838431667754;17,2218354003914;-1;17,2218354003914;1030,07708152115;4,7838431667754;17,2218354003914;-1;20,6263437449678;1088,32393453506;11,8863675818459;20,6263437449678;-1;25,7670464071419;1148,68269629;20,9953711465601;25,7670464071419;-1;31,8558822528691;1218,45658872745;21,9009190488475;31,8558822528691;-1;36,4329514303257;1274,26537118803;24,6458200852203;36,4329514303257;-1;40,4231118749258;1389,77546113871;40,4231118749258;37,9409909703251;1;45,0426408027124;1409,13368345807;45,0426408027124;37,8220647961707;1;50,2865764900693;1533,67369556271;50,2865764900693;40,9476408561993;1;55,3026603351151;1935,63535440203;55,3026603351151;34,0059836843255;1;60,4683842211795;2744,57930998463;60,4683842211795;4,51775284411111;1;65,3455520895358;3111,12355029186;65,3455520895358;8,49492177163966;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4;3,43452380952381;1000;3500;27,9166334196012;1030,00970927076;27,9166334196012;8,07227954301722;1;27,9166334196012;1030,00970927076;27,9166334196012;8,07227954301722;1;27,9166334196012;1030,00970927076;27,9166334196012;8,07227954301722;1;27,9166334196012;1030,00970927076;27,9166334196012;8,07227954301722;1;31,8738355972248;1059,20611773127;31,8738355972248;11,867917509605;1;35,0000000000002;1176,69975623084;35,0000000000002;14,0000000000001;1;41,0214555277714;1215,11720283815;41,0214555277714;13,5608117447178;1;46,5549686171989;1305,30589601477;46,5549686171989;17,2918454863881;1;50,5088347973211;1363,24314095198;50,5088347973211;13,2204332690975;1;55,7105881581715;1441,72927728276;55,7105881581715;17,772702970705;1;60,357700145003;1582,66880383067;60,357700145003;16,0271859142098;1;65,1640056778898;2348,62862498785;65,1640056778898;11,5847121205137;1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,07738095238095;3,375;1000;3500;22,7450033252788;1030,08597324472;11,8817181549964;22,7450033252788;-1;22,7450033252788;1030,08597324472;11,8817181549964;22,7450033252788;-1;22,7450033252788;1030,08597324472;11,8817181549964;22,7450033252788;-1;25,3171529253239;1090,37482878019;19,7276516301225;25,3171529253239;-1;30,366163197657;1130,20856577579;24,0948903633583;30,366163197657;-1;37,7595409245946;1217,99330537352;37,7595409245946;26,3277533052219;1;40,2521632038279;1265,26973742617;40,2521632038279;25,7072638948817;1;45,3927007379919;1362,91751210967;45,3927007379919;23,6976599440987;1;50,5457238463885;1429,96146404762;50,5457238463885;20,014749710986;1;55,1086281891826;1478,7623451111;55,1086281891826;9,74481839930668;1;60,5946576300884;1537,22670233262;60,5946576300884;9,3488900343565;1;65,2670468591003;2850,60279151713;65,2670468591003;5,6753953790522;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,25;3,23809523809524;1000;3500;13,1191381464395;1030,14243654929;12,2038494385483;13,1191381464395;-1;16,7876312810862;1050,03101859062;16,7876312810862;13,8820797132059;1;20,1638539914843;1060,75036907806;20,1638539914843;13,7626305021242;1;25,779331113311;1100,13271263617;25,779331113311;12,3874707947079;1;31,4917595061666;1147,40850267991;31,4917595061666;12,2467953635092;1;36,8451691533068;1176,80581001178;36,8451691533068;12,1690466928353;1;40,1287534712895;1245,02350867534;40,1287534712895;13,7106574360239;1;46,0179323294552;1330,81051373579;46,0179323294552;17,1307631299432;1;50,0287725313959;1449,46263264861;50,0287725313959;24,2074705797077;1;55,6021317977976;3193,29710765088;55,6021317977976;18,8837428747237;1;0;0;0;0;0;0;0;0;0;0
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,33333333333333;3,56547619047619;1000;3500;31,5664457780365;1030,01318807595;14,7757831301447;31,5664457780365;-1;31,5664457780365;1030,01318807595;14,7757831301447;31,5664457780365;-1;31,5664457780365;1030,01318807595;14,7757831301447;31,5664457780365;-1;31,5664457780365;1030,01318807595;14,7757831301447;31,5664457780365;-1;31,5664457780365;1030,01318807595;14,7757831301447;31,5664457780365;-1;35,1361887614657;1254,99011818077;27,7743206400157;35,1361887614657;-1;40,4286343995985;1302,93504724166;21,5847793828365;40,4286343995985;-1;45,7192961776053;1476,82652069178;38,1567058324375;45,7192961776053;-1;51,3470416409057;1986,67043538392;51,3470416409057;21,5442132759045;1;56,0454996858018;2071,72614059051;56,0454996858018;16,4035608836493;1;60,2790087129168;2602,41228069135;60,2790087129168;7,23348104555002;1;65,0091189779295;2695,46658113121;65,0091189779295;7,22323544199216;1
