"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"time_50";"poolA_50";"poolB_50";"dec_50"
"1";800;2;100;0,55;0,36;0,36;0,182729347562417;0,006;0,07;65000;50;50;30;8,247;6,753;4,01785714285714;3,56547619047619;1000;3500;50,4204339188195;1828,437642058;41,4473058485211;50,4204339188195;-1
"2";800;2;100;0,55;0,36;0,36;0,162132109422237;0,006;0,07;65000;50;50;30;8,247;6,753;4,19642857142857;3,63095238095238;1000;3500;50,5200098986909;1400,49326337249;50,5200098986909;27,2647672469126;1
"3";800;2;100;0,55;0,36;0,36;0,12680474226363;0,006;0,07;65000;50;50;30;8,247;6,753;4,43452380952381;3,4702380952381;1000;3500;50,2193653722618;1702,80519700657;50,2193653722618;9,37428153615554;1
"4";800;2;100;0,55;0,36;0,36;0,122674825880677;0,006;0,07;65000;50;50;30;8,247;6,753;4,14880952380952;3,32738095238095;1000;3500;50,9024539357471;1809,10752589751;25,4512269678735;50,9024539357471;-1
"5";800;2;100;0,55;0,36;0,36;0,166790206287988;0,006;0,07;65000;50;50;30;8,247;6,753;4,36309523809524;3,18452380952381;1000;3500;50,055956968529;1526,49141247029;50,055956968529;30,893910941514;1
"6";800;2;100;0,55;0,36;0,36;0,154914718144573;0,006;0,07;65000;50;50;30;8,247;6,753;4,24404761904762;3,45833333333333;1000;3500;51,360803329868;1630,40559737715;24,2868914970694;51,360803329868;-1
"7";800;2;100;0,55;0,36;0,36;0,134397613862529;0,006;0,07;65000;50;50;30;8,247;6,753;3,70833333333333;3,35119047619048;1000;3500;50,447557009441;1412,14250813207;50,447557009441;21,5706795488644;1
"8";800;2;100;0,55;0,36;0,36;0,187590512190945;0,006;0,07;65000;50;50;30;8,247;6,753;4,16071428571429;3,10714285714286;1000;3500;50,8460347951509;1453,27390915001;36,5587192328771;50,8460347951509;-1
"9";800;2;100;0,55;0,36;0,36;0,136093802889809;0,006;0,07;65000;50;50;30;8,247;6,753;4,07738095238095;3,47619047619048;1000;3500;50,0500000000002;1317,60204156145;50,0500000000002;11,5500000000001;1
"10";800;2;100;0,55;0,36;0,36;0,135410344111733;0,006;0,07;65000;50;50;30;8,247;6,753;4,18452380952381;3,52380952380952;1000;3500;50,0475710177043;2360,2685567703;26,6210484136725;50,0475710177043;-1
