"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"time_50";"poolA_50";"poolB_50";"dec_50"
"1";800;2;100;0,55;0,36;0,36;0,153779911436141;0,006;0,07;65000;50;50;30;8,247;6,753;4,04166666666667;3,29761904761905;1000;3500;51,8514378124453;1790,52353727927;20,6654281136558;51,8514378124453;-1
"2";800;2;100;0,55;0,36;0,36;0,148033697507344;0,006;0,07;65000;50;50;30;8,247;6,753;4,30357142857143;3,4702380952381;1000;3500;50,209370622364;1534,48958690187;22,1939971591609;50,209370622364;-1
"3";800;2;100;0,55;0,36;0,36;0,174216779740527;0,006;0,07;65000;50;50;30;8,247;6,753;4,17261904761905;3,46428571428571;1000;3500;50,9007032350844;1419,99404351099;50,9007032350844;21,7590792455323;1
"4";800;2;100;0,55;0,36;0,36;0,160747262439691;0,006;0,07;65000;50;50;30;8,247;6,753;3,95833333333333;3,30952380952381;1000;3500;50,5249686035606;1769,07645239809;50,5249686035606;15,7890526886127;1
"5";800;2;100;0,55;0,36;0,36;0,131027303216979;0,006;0,07;65000;50;50;30;8,247;6,753;4,25595238095238;3,4047619047619;1000;3500;50,9083560182373;1510,61707072863;50,9083560182373;21,4872931245807;1
"6";800;2;100;0,55;0,36;0,36;0,163175558485091;0,006;0,07;65000;50;50;30;8,247;6,753;4,29166666666667;3,28571428571429;1000;3500;50,672522112195;2349,11862607144;22,3437892778183;50,672522112195;-1
"7";800;2;100;0,55;0,36;0,36;0,11908003508579;0,006;0,07;65000;50;50;30;8,247;6,753;4,29761904761905;3,2202380952381;1000;3500;51,2413504384867;1545,17169826422;51,2413504384867;9,76025722637841;1
"8";800;2;100;0,55;0,36;0,36;0,156397173763253;0,006;0,07;65000;50;50;30;8,247;6,753;3,9047619047619;3,10714285714286;1000;3500;52,1821487578808;1734,71755566072;52,1821487578808;25,8978071613186;1
"9";800;2;100;0,55;0,36;0,36;0,122363884281367;0,006;0,07;65000;50;50;30;8,247;6,753;4,04761904761905;3,54761904761905;1000;3500;52,2559655138045;1446,92269703289;17,859633783199;52,2559655138045;-1
"10";800;2;100;0,55;0,36;0,36;0,181421546381898;0,006;0,07;65000;50;50;30;8,247;6,753;4,11309523809524;3,68452380952381;1000;3500;51,8419509773922;1527,8445801966;51,8419509773922;38,5601288261595;1
"11";800;2;100;0,55;0,36;0,36;0,110183947510086;0,006;0,07;65000;50;50;30;8,247;6,753;4,05952380952381;3,28571428571429;1000;3500;51,7834643891786;1799,4430239325;51,7834643891786;6,86286877446945;1
"12";800;2;100;0,55;0,36;0,36;0,122672082460485;0,006;0,07;65000;50;50;30;8,247;6,753;4,02380952380952;3,26785714285714;1000;3500;50,1183291308093;1593,19171842894;50,1183291308093;19,1240992735983;1
"13";800;2;100;0,55;0,36;0,36;0,145379627193324;0,006;0,07;65000;50;50;30;8,247;6,753;4,23214285714286;3,23214285714286;1000;3500;52,1048805310895;1409,64552773296;52,1048805310895;17,0064540622306;1
"14";800;2;100;0,55;0,36;0,36;0,146282679075375;0,006;0,07;65000;50;50;30;8,247;6,753;4,10714285714286;3,42261904761905;1000;3500;50,0078072068418;1437,4511653341;50,0078072068418;6,07237658940222;1
"15";800;2;100;0,55;0,36;0,36;0,166202739463188;0,006;0,07;65000;50;50;30;8,247;6,753;4,00595238095238;3,26785714285714;1000;3500;50,2939497954406;1399,87471147582;30,2581486574196;50,2939497954406;-1
"16";800;2;100;0,55;0,36;0,36;0,198818406066857;0,006;0,07;65000;50;50;30;8,247;6,753;4,00595238095238;3,4702380952381;1000;3500;50,2003600113391;1545,68466222005;38,6498346989956;50,2003600113391;-1
"17";800;2;100;0,55;0,36;0,36;0,159644965012558;0,006;0,07;65000;50;50;30;8,247;6,753;3,98809523809524;3,42261904761905;1000;3500;50,7359061177319;1668,74122264206;50,7359061177319;34,332568049593;1
"18";800;2;100;0,55;0,36;0,36;0,100000280863605;0,006;0,07;65000;50;50;30;8,247;6,753;4,17261904761905;3,29166666666667;1000;3500;51,1497733459497;1675,42693799109;20,2727760212605;51,1497733459497;-1
"19";800;2;100;0,55;0,36;0,36;0,164344699331559;0,006;0,07;65000;50;50;30;8,247;6,753;4,08928571428571;3,4702380952381;1000;3500;50,4742918576511;2048,613463926;50,4742918576511;17,998584693426;1
"20";800;2;100;0,55;0,36;0,36;0,168373051402159;0,006;0,07;65000;50;50;30;8,247;6,753;4,29166666666667;3,36904761904762;1000;3500;53,1521876317074;1493,52060064555;53,1521876317074;16,3852608488722;1
"21";800;2;100;0,55;0,36;0,36;0,178516939748079;0,006;0,07;65000;50;50;30;8,247;6,753;3,92857142857143;3,61309523809524;1000;3500;50,1649010846016;1418,77699057667;39,1530935294451;50,1649010846016;-1
"22";800;2;100;0,55;0,36;0,36;0,131735419412144;0,006;0,07;65000;50;50;30;8,247;6,753;4,2797619047619;3,45238095238095;1000;3500;50,1898277552314;1374,71812456814;50,1898277552314;13,4737792631494;1
"23";800;2;100;0,55;0,36;0,36;0,164124184055254;0,006;0,07;65000;50;50;30;8,247;6,753;3,98809523809524;3,3452380952381;1000;3500;54,6649230146976;1501,32310487908;54,6649230146976;16,0295638915279;1
"24";800;2;100;0,55;0,36;0,36;0,123232698184438;0,006;0,07;65000;50;50;30;8,247;6,753;4,14880952380952;3,2202380952381;1000;3500;51,6477052104613;1448,09185563151;15,2516713373174;51,6477052104613;-1
"25";800;2;100;0,55;0,36;0,36;0,129313096520491;0,006;0,07;65000;50;50;30;8,247;6,753;4,2202380952381;3,73214285714286;1000;3500;50,9175449752698;1433,66864694039;50,9175449752698;19,2205302224529;1
"26";800;2;100;0,55;0,36;0,36;0,160498963505961;0,006;0,07;65000;50;50;30;8,247;6,753;4,05952380952381;3,39880952380952;1000;3500;50,0734656264594;1343,45443676234;50,0734656264594;18,1034837264891;1
"27";800;2;100;0,55;0,36;0,36;0,157631787378341;0,006;0,07;65000;50;50;30;8,247;6,753;4,23809523809524;3,5952380952381;1000;3500;52,127193960888;1245,29450094194;52,127193960888;13,2322876977639;1
"28";800;2;100;0,55;0,36;0,36;0,135037560667843;0,006;0,07;65000;50;50;30;8,247;6,753;4,05952380952381;3,27380952380952;1000;3500;50,051608171739;1548,53637088084;50,051608171739;5,17775256949024;1
"29";800;2;100;0,55;0,36;0,36;0,147228603693657;0,006;0,07;65000;50;50;30;8,247;6,753;3,82738095238095;3,48214285714286;1000;3500;51,3410242539674;1516,42203185557;51,3410242539674;23,9591446518515;1
"30";800;2;100;0,55;0,36;0,36;0,173198292707093;0,006;0,07;65000;50;50;30;8,247;6,753;4,16071428571429;3,36904761904762;1000;3500;50,0145413120442;1350,48166895039;50,0145413120442;22,4871581092912;1
"31";800;2;100;0,55;0,36;0,36;0,143927194736898;0,006;0,07;65000;50;50;30;8,247;6,753;4,27380952380952;3,30952380952381;1000;3500;50,3183375453519;1745,21901113037;50,3183375453519;32,7069194044787;1
"32";800;2;100;0,55;0,36;0,36;0,140111096994951;0,006;0,07;65000;50;50;30;8,247;6,753;4,05952380952381;3,33333333333333;1000;3500;50,1771957901738;1777,93513012859;50,1771957901738;27,955866225954;1
"33";800;2;100;0,55;0,36;0,36;0,113430312136188;0,006;0,07;65000;50;50;30;8,247;6,753;4,1547619047619;3,2202380952381;1000;3500;50,4688182531294;1326,02900334397;12,0323010404812;50,4688182531294;-1
"34";800;2;100;0,55;0,36;0,36;0,132643791893497;0,006;0,07;65000;50;50;30;8,247;6,753;3,82738095238095;3,5;1000;3500;51,6449031512061;1374,53291038588;51,6449031512061;16,9838943248933;1
"35";800;2;100;0,55;0,36;0,36;0,175969399139285;0,006;0,07;65000;50;50;30;8,247;6,753;3,95833333333333;3,5297619047619;1000;3500;50,6130110995713;1694,61390098426;50,6130110995713;24,5156772513549;1
"36";800;2;100;0,55;0,36;0,36;0,123642068495974;0,006;0,07;65000;50;50;30;8,247;6,753;4,04166666666667;3,08333333333333;1000;3500;52,6055435561777;1269,98149287171;52,6055435561777;12,2415415822552;1
"37";800;2;100;0,55;0,36;0,36;0,13405604371801;0,006;0,07;65000;50;50;30;8,247;6,753;4,01785714285714;3,41071428571429;1000;3500;50,2335530353516;1449,94772603844;50,2335530353516;13,4427817981927;1
"38";800;2;100;0,55;0,36;0,36;0,180241448269226;0,006;0,07;65000;50;50;30;8,247;6,753;3,81547619047619;3,67857142857143;1000;3500;51,0798899287387;1865,71320462992;51,0798899287387;39,3234073260925;1
"39";800;2;100;0,55;0,36;0,36;0,129228308610618;0,006;0,07;65000;50;50;30;8,247;6,753;4,20833333333333;3,58928571428571;1000;3500;50,0128011481252;1413,64335325976;50,0128011481252;19,037130759609;1
"40";800;2;100;0,55;0,36;0,36;0,171000520815141;0,006;0,07;65000;50;50;30;8,247;6,753;4,06547619047619;3,32142857142857;1000;3500;51,9746458855501;1248,58197486349;16,5876529421968;51,9746458855501;-1
"41";800;2;100;0,55;0,36;0,36;0,145343102887273;0,006;0,07;65000;50;50;30;8,247;6,753;4,26785714285714;3,60119047619048;1000;3500;50,3990885227325;1884,66782936797;20,6010872793651;50,3990885227325;-1
"42";800;2;100;0,55;0,36;0,36;0,162349994992837;0,006;0,07;65000;50;50;30;8,247;6,753;4,45833333333333;3,19642857142857;1000;3500;50,9173398148812;1757,58116361448;50,9173398148812;24,8572840041152;1
"43";800;2;100;0,55;0,36;0,36;0,125537657621317;0,006;0,07;65000;50;50;30;8,247;6,753;4,35714285714286;3,49404761904762;1000;3500;51,1449363233885;1914,52782616325;51,1449363233885;21,3386158170429;1
"44";800;2;100;0,55;0,36;0,36;0,166791434655897;0,006;0,07;65000;50;50;30;8,247;6,753;4,19642857142857;3,23214285714286;1000;3500;50,3548213212474;2195,15277170597;22,07865242547;50,3548213212474;-1
