"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_10";"time_10";"poolA_10";"poolB_10";"dec_10";"bound_15";"time_15";"poolA_15";"poolB_15";"dec_15";"bound_20";"time_20";"poolA_20";"poolB_20";"dec_20";"bound_25";"time_25";"poolA_25";"poolB_25";"dec_25";"bound_30";"time_30";"poolA_30";"poolB_30";"dec_30";"bound_35";"time_35";"poolA_35";"poolB_35";"dec_35";"bound_40";"time_40";"poolA_40";"poolB_40";"dec_40";"bound_45";"time_45";"poolA_45";"poolB_45";"dec_45";"bound_50";"time_50";"poolA_50";"poolB_50";"dec_50";"bound_55";"time_55";"poolA_55";"poolB_55";"dec_55";"bound_60";"time_60";"poolA_60";"poolB_60";"dec_60";"bound_65";"time_65";"poolA_65";"poolB_65";"dec_65"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,05357142857143;3,30952380952381;1000;3500;13,8288328749762;1030,1174758275;4,40008318749241;13,8288328749762;-1;16,1569538697639;1069,13915609455;9,62541932666784;16,1569538697639;-1;21,4185474277916;1120,10116085299;14,928078510279;21,4185474277916;-1;27,8797318055706;1169,50566453374;18,4745210759805;27,8797318055706;-1;30,5706325954557;1355,39492077117;26,1052592949959;30,5706325954557;-1;35,0084472686683;1453,11437963764;20,9364243469487;35,0084472686683;-1;40,6199585539125;1887,57772233619;33,0711166987606;40,6199585539125;-1;45,1848261928986;1973,84036152379;19,1693202030479;45,1848261928986;-1;50,1785449891948;2041,09841256469;20,5592649608507;50,1785449891948;-1;55,4261902388176;2156,94334980654;22,4344103347595;55,4261902388176;-1;60,9906888009371;2432,34586707159;11,7572412146385;60,9906888009371;-1;67,032654401652;3208,55396253587;12,0221608437745;67,032654401652;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,42261904761905;3,39880952380952;1000;3500;19,4640701474115;1030,02291391751;19,4640701474115;4,7911557285936;1;19,4640701474115;1030,02291391751;19,4640701474115;4,7911557285936;1;21,6320724710575;1039,63169648216;21,6320724710575;5,01613274691189;1;26,0261824908121;1081,11726582085;26,0261824908121;9,96063774339722;1;30,6259418540336;1139,13370475727;30,6259418540336;20,8813239913865;1;36,4209389636511;1177,92160721646;36,4209389636511;20,7164973921685;1;42,4354694957119;1226,38401200193;42,4354694957119;22,5866208606209;1;46,5588324023986;1255,41813375643;46,5588324023986;24,3064492688993;1;50,4862517769704;1294,08242369819;50,4862517769704;27,3179033587716;1;55,6034022697504;1311,2806625929;55,6034022697504;23,7241183017602;1;60,4052683740842;1369,19893842799;60,4052683740842;15,2672656330103;1;65,1197935144213;1769,61988950599;65,1197935144213;1,77922933099512;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;3,86309523809524;3,26190476190476;1000;3500;18,8238896973282;1030,05624270234;18,8238896973282;4,78573466881226;1;18,8238896973282;1030,05624270234;18,8238896973282;4,78573466881226;1;21,0367126694846;1038,95931191822;21,0367126694846;6,05602334424556;1;26,0568857359523;1068,63507606545;26,0568857359523;7,68344066572954;1;30,5581909930941;1088,43183636957;30,5581909930941;10,4099331954496;1;35,5924510397515;1139,60205184017;35,5924510397515;18,9391023881247;1;41,0347415588696;1246,40087102614;41,0347415588696;20,3449558989353;1;45,1500000000002;1322,14541018715;45,1500000000002;19,6000000000001;1;51,8137592605729;1380,40010183248;51,8137592605729;16,2748346395389;1;55,0682045130919;1757,43766351481;55,0682045130919;8,62514046590597;1;60,2720681743567;1923,23449272378;60,2720681743567;8,61029545347952;1;65,1000000000003;2193,15699342266;65,1000000000003;4,20000000000002;1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,01190476190476;3,55952380952381;1000;3500;18,7644410515494;1030,00438849181;18,7644410515494;7,76459629719287;1;18,7644410515494;1030,00438849181;18,7644410515494;7,76459629719287;1;22,1141330388408;1038,95461808701;22,1141330388408;9,32939987576097;1;25,1039113179745;1058,57581706324;25,1039113179745;10,6605650802357;1;31,8216375885588;1118,79730743466;31,8216375885588;8,12467342686608;1;35,4387663679274;1168,44495938634;35,4387663679274;7,08775327358547;1;41,0987361737654;1209,31107856514;41,0987361737654;4,39223134681462;1;45,8500705938481;1267,34927842726;45,8500705938481;6,11334274584642;1;50,5275292227763;1362,73199669856;50,5275292227763;10,9991900348901;1;55,9425042692456;1487,85294934986;55,9425042692456;6,06605467979772;1;60,361281542617;1739,39339795487;60,361281542617;7,41870499406466;1;66,2184976608244;1913,07256200548;66,2184976608244;8,87464401639914;1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,35119047619048;3,49404761904762;1000;3500;11,9503369149054;1060,42959036097;9,36648028465562;11,9503369149054;-1;15,2412014546635;1100,16583653734;15,2412014546635;14,923676424358;1;21,1517049112071;1130,24376401368;21,1517049112071;18,8738289976925;1;26,7861952375951;1188,1121643796;26,7861952375951;18,4607561772615;1;30,8787902342967;1217,45761252155;30,8787902342967;20,4739804814358;1;35,2015176127413;1274,89795588432;35,2015176127413;22,1266682137231;1;42,7396000874204;1417,30224149507;42,7396000874204;18,7795212505332;1;45,9658424432224;1465,80437183367;45,9658424432224;14,7627523175313;1;50,1376574955419;1522,29892386025;50,1376574955419;12,8925404988536;1;56,0731148707831;1704,90879653465;56,0731148707831;15,0696496215229;1;60,0177859921539;1731,96297312936;60,0177859921539;12,93796584262;1;0;0;0;0;0
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,0297619047619;3,47619047619048;1000;3500;16,7667097739511;1030,00029482398;16,7667097739511;9,99553851908621;1;16,7667097739511;1030,00029482398;16,7667097739511;9,99553851908621;1;21,7731479226815;1109,54713015208;21,7731479226815;18,1442899355679;1;26,2673124123826;1178,46024774351;26,2673124123826;21,6705327402156;1;30,0138761737361;1227,36763498385;30,0138761737361;20,8050732567944;1;35,2283252091349;1334,23625602264;35,2283252091349;20,3240337745009;1;40,9305648624115;1363,60816584911;40,9305648624115;20,6344169967529;1;45,0729910533341;1409,25528890902;45,0729910533341;13,2357195950267;1;50,034853306768;1488,20823238995;50,034853306768;6,55629112295581;1;55,2887471535358;1527,44691043814;55,2887471535358;4,99597112833155;1;60,0782670209085;1767,6330866089;60,0782670209085;9,02910371412497;1;66,0825820018353;3265,76332722449;66,0825820018353;7,6516673896862;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,125;3,48214285714286;1000;3500;14,9456756205164;1030,08678771823;9,17121003986235;14,9456756205164;-1;16,6233808756245;1038,4707952646;10,6106686440157;16,6233808756245;-1;20,9573272406941;1057,35741536981;14,0919959032253;20,9573272406941;-1;26,6631514061977;1107,94612292704;24,7586405914693;26,6631514061977;-1;30,030249259602;1118,10714540649;27,4189232370279;30,030249259602;-1;35,5650028248793;1223,77277859163;24,3874305084887;35,5650028248793;-1;40,5348332151716;1599,93813554743;40,5348332151716;28,7554799731559;1;45,9404582889291;1745,31824085501;45,9404582889291;23,3182629193807;1;50,1567548007352;1773,22313345942;50,1567548007352;26,1380271496789;1;55,1723496886429;2101,28589161784;55,1723496886429;22,9599219201185;1;60,1433186489578;2426,35236626848;60,1433186489578;11,4558702188491;1;0;0;0;0;0
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,04761904761905;3,10119047619048;1000;3500;11,633775874369;1050,45913169627;6,9173802496248;11,633775874369;-1;15,7982078642062;1071,01330962523;7,56997460159881;15,7982078642062;-1;20,9233259503169;1089,31051799162;8,57513358619544;20,9233259503169;-1;26,5785628703102;1120,3190845819;10,887604067356;26,5785628703102;-1;31,4964339325449;1276,89891703227;31,4964339325449;22,4495858880905;1;35,4181537290835;1405,08821993752;34,0559170471956;35,4181537290835;-1;40,8559861885797;1453,21032374904;31,9294681977976;40,8559861885797;-1;45,0354191275532;2042,71679438298;45,0354191275532;27,0212514765319;1;50,0937768739565;2120,49822166973;50,0937768739565;25,2149883593741;1;55,5913769950567;2215,55562375038;55,5913769950567;17,5922079098281;1;60,5877062600455;2382,88197668391;60,5877062600455;14,1050744732381;1;65,0311935170021;2533,30252311672;65,0311935170021;9,95012796981452;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,45833333333333;3,47619047619048;1000;3500;23,3029838414175;1030,0461442883;23,3029838414175;14,1130747208585;1;23,3029838414175;1030,0461442883;23,3029838414175;14,1130747208585;1;23,3029838414175;1030,0461442883;23,3029838414175;14,1130747208585;1;27,202117568221;1039,3380472727;27,202117568221;15,4481161498539;1;30,0929699173814;1068,91961216397;30,0929699173814;18,7245146152596;1;35,2108132341602;1224,62454182166;35,2108132341602;30,0759029708452;1;41,7752426478064;1541,00241150805;41,7752426478064;22,4159838597986;1;46,7611071558404;1760,46353291874;46,7611071558404;19,275570888667;1;50,2142068691815;1967,66289997952;50,2142068691815;8,94225601779945;1;55,4615682844472;2005,79846972129;55,4615682844472;10,756182940014;1;60,4407064393599;2175,13239024493;60,4407064393599;10,6660070187106;1;65,2158857662993;2690,92340562538;65,2158857662993;7,67245714897639;1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;55000;50;50;30;8,247;6,753;4,06547619047619;3,49404761904762;1000;3500;17,1070557884473;1030,07158261987;17,1070557884473;8,39214057546469;1;17,1070557884473;1030,07158261987;17,1070557884473;8,39214057546469;1;21,160313348001;1049,79299967047;21,160313348001;12,2333061543131;1;26,4008105479472;1079,39254595423;26,4008105479472;19,7170610421377;1;30,2007245583692;1150,08172392996;30,2007245583692;23,7059450834511;1;36,5580462894578;1257,3455786222;36,5580462894578;19,1494528182874;1;40,8129749887966;1334,29909118644;40,8129749887966;24,0863458950275;1;46,2771741969733;1402,45530378909;46,2771741969733;14,8369566127701;1;51,0434759806164;1460,8125953734;51,0434759806164;10,2772099289832;1;55,0247923688114;1489,32070697224;55,0247923688114;7,66167995008767;1;60,7335734784664;2320,59219183268;60,7335734784664;19,232298268181;1;0;0;0;0;0
