"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"to_A";"to_B";"fixed_for";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"time_50";"poolA_50";"poolB_50";"dec_50"
"1";800;2;100;0,55;0,36;0,36;0,188749290513806;0,006;0,07;65000;50;50;30;8,247;6,753;4,20833333333333;3,35119047619048;1000;3500;50,3051638784778;1553,06600853381;35,4610171602385;50,3051638784778;-1
"2";800;2;100;0,55;0,36;0,36;0,149409724818543;0,006;0,07;65000;50;50;30;8,247;6,753;4,14285714285714;3,45833333333333;1000;3500;50,6072234468359;1458,30913197255;26,2009029192838;50,6072234468359;-1
"3";800;2;100;0,55;0,36;0,36;0,141423825197853;0,006;0,07;65000;50;50;30;8,247;6,753;4,13690476190476;3,41071428571429;1000;3500;51,0620219783022;1397,89159073419;51,0620219783022;15,0614597202186;1
"4";800;2;100;0,55;0,36;0,36;0,150131453177892;0,006;0,07;65000;50;50;30;8,247;6,753;4,04166666666667;3,46428571428571;1000;3500;51,1625150526185;1916,9171484569;51,1625150526185;31,6348375516191;1
"5";800;2;100;0,55;0,36;0,36;0,139801417547278;0,006;0,07;65000;50;50;30;8,247;6,753;4,07142857142857;3,2202380952381;1000;3500;50,1082922823888;1956,61247475968;24,3581976372723;50,1082922823888;-1
"6";800;2;100;0,55;0,36;0,36;0,177679465897381;0,006;0,07;65000;50;50;30;8,247;6,753;4,05357142857143;3,5952380952381;1000;3500;50,5785082119359;2657,02564831628;50,5785082119359;25,0869400731202;1
"7";800;2;100;0,55;0,36;0,36;0,19405432860367;0,006;0,07;65000;50;50;30;8,247;6,753;4,07142857142857;3,39285714285714;1000;3500;51,8290013296244;1639,11918908636;51,8290013296244;17,4215130519746;1
"8";800;2;100;0,55;0,36;0,36;0,125030929618515;0,006;0,07;65000;50;50;30;8,247;6,753;4,41071428571429;3,42857142857143;1000;3500;50,7842522356384;1602,71543124849;50,7842522356384;17,4999788109294;1
"9";800;2;100;0,55;0,36;0,36;0,199178778612986;0,006;0,07;65000;50;50;30;8,247;6,753;4,33333333333333;3,125;1000;3500;50,1909487292328;1533,02955855656;45,1718538563095;50,1909487292328;-1
"10";800;2;100;0,55;0,36;0,36;0,101459577633068;0,006;0,07;65000;50;50;30;8,247;6,753;4,16666666666667;3,60119047619048;1000;3500;50,4876406182441;2107,33718032826;50,4876406182441;9,06963603920552;1
"11";800;2;100;0,55;0,36;0,36;0,136332989064977;0,006;0,07;65000;50;50;30;8,247;6,753;4,17857142857143;3,13095238095238;1000;3500;50,0209975876878;1270,8243308562;50,0209975876878;7,39747147423552;1
"12";800;2;100;0,55;0,36;0,36;0,156027094717138;0,006;0,07;65000;50;50;30;8,247;6,753;4,17857142857143;3,27380952380952;1000;3500;51,5579242329976;1785,04162652489;51,5579242329976;15,7751857727828;1
"13";800;2;100;0,55;0,36;0,36;0,193479981343262;0,006;0,07;65000;50;50;30;8,247;6,753;4,4702380952381;3,27380952380952;1000;3500;51,8373854941843;1737,96229652943;31,8999295348827;51,8373854941843;-1
"14";800;2;100;0,55;0,36;0,36;0,112956318072975;0,006;0,07;65000;50;50;30;8,247;6,753;4,13095238095238;3,33333333333333;1000;3500;51,2303312782147;2643,47203448524;51,2303312782147;20,425164757981;1
"15";800;2;100;0,55;0,36;0,36;0,105006600380875;0,006;0,07;65000;50;50;30;8,247;6,753;4,31547619047619;3,36309523809524;1000;3500;50,573977281455;1559,20310233484;50,573977281455;17,5909486196365;1
"16";800;2;100;0,55;0,36;0,36;0,185261233104393;0,006;0,07;65000;50;50;30;8,247;6,753;4,14285714285714;3,51785714285714;1000;3500;51,8998991171622;1794,17510111231;51,8998991171622;24,9282980011567;1
"17";800;2;100;0,55;0,36;0,36;0,156187683716416;0,006;0,07;65000;50;50;30;8,247;6,753;4,21428571428571;3,23809523809524;1000;3500;50,4371623309244;1038,37627038891;9,45696793704833;50,4371623309244;-1
"18";800;2;100;0,55;0,36;0,36;0,124808408529498;0,006;0,07;65000;50;50;30;8,247;6,753;4,30952380952381;3,31547619047619;1000;3500;50,296196682884;1582,49775527505;50,296196682884;17,4228655176004;1
"19";800;2;100;0,55;0,36;0,36;0,146618132037111;0,006;0,07;65000;50;50;30;8,247;6,753;4,2202380952381;3,44642857142857;1000;3500;50,7180079411057;1851,04169782721;50,7180079411057;29,9865594396318;1
"20";800;2;100;0,55;0,36;0,36;0,137930422043428;0,006;0,07;65000;50;50;30;8,247;6,753;4,05952380952381;3,33333333333333;1000;3500;50,7044248251213;1597,84998216398;50,7044248251213;17,7465486887925;1
"21";800;2;100;0,55;0,36;0,36;0,115834956406616;0,006;0,07;65000;50;50;30;8,247;6,753;3,93452380952381;3,23809523809524;1000;3500;50,8924665970465;1757,25692418918;19,4977631767905;50,8924665970465;-1
"22";800;2;100;0,55;0,36;0,36;0,177806912222877;0,006;0,07;65000;50;50;30;8,247;6,753;4,08928571428571;3,24404761904762;1000;3500;51,7619110740751;1481,85071734567;51,7619110740751;37,3585966882455;1
"23";800;2;100;0,55;0,36;0,36;0,113895462499931;0,006;0,07;65000;50;50;30;8,247;6,753;4,01190476190476;3,10119047619048;1000;3500;51,3937247863394;1346,44974560651;51,3937247863394;11,1298512276149;1
"24";800;2;100;0,55;0,36;0,36;0,182181083760224;0,006;0,07;65000;50;50;30;8,247;6,753;4,27380952380952;3,19047619047619;1000;3500;50,2970376353144;1423,10834456774;50,2970376353144;21,6189021414948;1
"25";800;2;100;0,55;0,36;0,36;0,170615793671459;0,006;0,07;65000;50;50;30;8,247;6,753;3,75595238095238;3,01785714285714;1000;3500;51,1205528928769;1996,82786447507;51,1205528928769;19,0687776663906;1
