"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_th";"time_th";"poolA_th";"poolB_th";"dec_th"
"594";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,57352941176471;3,52205882352941;1000;3000;52,5422417070497;1882,28602778988;22,5684796594039;52,5422417070497;-1
"595";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,90441176470588;3,77205882352941;1000;3000;52,9236763951586;1449,2013679989;52,9236763951586;14,1821616483758;1
"596";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,01470588235294;3,88970588235294;1000;3000;0;0;0;0;0
"597";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,77941176470588;3,64705882352941;1000;3000;52,9312285307965;1526,03586964015;52,9312285307965;19,3735215537556;1
"598";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,94852941176471;3,35294117647059;1000;3000;54,0245601592815;1566,38555945783;22,9091489283029;54,0245601592815;-1
"599";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,08088235294118;3,56617647058824;1000;3000;53,2283784449801;1504,77871317739;53,2283784449801;17,2907471381783;1
"600";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,05147058823529;3,65441176470588;1000;3000;52,6556195856696;1442,55526195178;10,3878433196219;52,6556195856696;-1
"601";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,98529411764706;3,72058823529412;1000;3000;53,7864779287391;1898,58814359069;53,7864779287391;27,927594309153;1
"602";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,93382352941176;3,65441176470588;1000;3000;53,4616800272336;1324,66378912832;53,4616800272336;1,74711372638018;1
"603";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,86029411764706;3,60294117647059;1000;3000;53,1338324126414;1814,88236139291;16,6894730014066;53,1338324126414;-1
"604";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,80147058823529;3,68382352941176;1000;3000;53,1201577011084;1554,51110405473;17,8187870769541;53,1201577011084;-1
"605";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,08823529411765;3,5;1000;3000;53,0283124935191;1673,65107539974;53,0283124935191;17,4480254010934;1
"606";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,625;3,63970588235294;1000;3000;53,5799746036057;1931,08031589007;53,5799746036057;22,0623424838376;1
"607";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;4,16176470588235;3,91176470588235;1000;3000;53,2000000000002;2172,18135285901;53,2000000000002;24,8500000000001;1
"608";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;45000;52,5;30;50;50;7,74;7,26;3,75735294117647;3,48529411764706;1000;3000;53,5442526595204;1433,46830116644;53,5442526595204;6,73735629490654;1
